Impulse,Response,Step,Value,Lower_CI,Upper_CI
goal4,goal4,4,3.202082210356709e-05,-2.2177471364755633e-05,8.621911557188981e-05
goal4,goal4,5,-3.969916674049782e-06,-1.0789023844884319e-05,2.849190496784755e-06
goal4,goal4,6,6.509746961135755e-07,-2.277095679962101e-07,1.529658960223361e-06
goal4,goal4,7,-9.565258408805408e-08,-2.1276946644470584e-07,2.1464298268597663e-08
goal4,goal4,8,1.331840471229226e-08,-2.5696343538225647e-09,2.9206443778407085e-08
goal4,goal4,9,-1.7518318560568465e-09,-3.924157387177309e-09,4.2049367506361577e-10
goal4,goal4,10,2.250735307655764e-10,-7.278067520678328e-11,5.229277367379361e-10
goal7,goal4,0,0.0,0.0,0.0
goal7,goal4,1,0.023549869477298792,-0.038377780171296554,0.08547751912589413
goal7,goal4,2,0.0005655062053070229,-0.01010015457035637,0.011231166980970417
goal7,goal4,3,-0.00032985742194835123,-0.001969711693094754,0.0013099968491980518
goal7,goal4,4,7.856121253679203e-05,-0.0001593128834372485,0.00031643530851083255
goal7,goal4,5,-1.2934763854336303e-05,-4.672039744438118e-05,2.0850869735708568e-05
goal7,goal4,6,1.949758057747935e-06,-2.7987017867416755e-06,6.698217902237545e-06
goal7,goal4,7,-2.7569983070250523e-07,-9.422595901544825e-07,3.908599287494721e-07
goal7,goal4,8,3.798690176496616e-08,-5.551659136873634e-08,1.3149039489866865e-07
goal7,goal4,9,-5.140016676849163e-09,-1.823549974229882e-08,7.955466388600492e-09
goal7,goal4,10,6.88512449566691e-10,-1.1402901194623687e-09,2.5173150185957508e-09
goal8,goal4,0,0.0,0.0,0.0
goal8,goal4,1,-0.006386051534976039,-0.08058295539358701,0.06781085232363493
goal8,goal4,2,-0.004024185201415781,-0.014643623236279752,0.00659525283344819
goal8,goal4,3,0.00015471814924797626,-0.001374233280101962,0.0016836695785979144
goal8,goal4,4,-2.1581454580775524e-05,-0.0002280368197511154,0.0001848739105895643
goal8,goal4,5,7.127341864095896e-07,-2.6373410010069726e-05,2.7798878382888907e-05
goal8,goal4,6,-1.6565722063365577e-08,-3.522796810386334e-06,3.4896653662596026e-06
goal8,goal4,7,-1.1917958064121573e-08,-4.655518138626312e-07,4.4171589773438805e-07
goal8,goal4,8,2.5440461728382856e-09,-5.6498351987377615e-08,6.158644433305419e-08
goal8,goal4,9,-4.547351699179214e-10,-8.179752958443695e-09,7.270282618607853e-09
goal8,goal4,10,7.094482212990992e-11,-9.429329475855658e-10,1.0848225918453857e-09
goal10,goal4,0,0.0,0.0,0.0
goal10,goal4,1,0.09139871726686168,0.07143031661099858,0.11136711792272477
goal10,goal4,2,-0.015775523612451065,-0.018864216086840066,-0.012686831138062063
goal10,goal4,3,0.001269573441117644,0.0008443916341015187,0.0016947552481337692
goal10,goal4,4,-9.112545864980599e-05,-0.00014647185548304051,-3.5779061816571465e-05
goal10,goal4,5,3.7664641674998854e-06,-3.235473478869345e-06,1.0768401813869117e-05
goal10,goal4,6,1.5123332527691152e-08,-8.573706750609934e-07,8.876173401163758e-07
goal10,goal4,7,-3.315197274750068e-08,-1.4236554161357017e-07,7.606159611856882e-08
goal10,goal4,8,5.298864446873559e-09,-8.517091588530556e-09,1.9114820482277675e-08
goal10,goal4,9,-6.907802082295485e-10,-2.4610705294710194e-09,1.0795101130119222e-09
goal10,goal4,10,8.487450152005068e-11,-1.4433126060036628e-10,3.140802636404676e-10
goal13,goal4,0,0.0,0.0,0.0
goal13,goal4,1,-0.052823844747336916,-0.13022350263432658,0.024575813139652757
goal13,goal4,2,0.011144195465312407,-0.0019713885520290103,0.024259779482653825
goal13,goal4,3,-0.0012660873953858388,-0.003202246263336259,0.000670071472564581
goal13,goal4,4,0.00015823746981173092,-0.00011194370536544179,0.0004284186449889036
