Group,Impulse,Response,Step,Value
HIC,goal16,goal7,4,0.0006249852735119776
HIC,goal16,goal7,5,-4.852115753188674e-05
HIC,goal16,goal7,6,2.9269924686977627e-05
HIC,goal16,goal7,7,-1.1478845298686003e-06
HIC,goal16,goal7,8,1.2658764890481868e-06
HIC,goal16,goal7,9,2.5086941869022997e-08
HIC,goal16,goal7,10,5.2461922271576946e-08
HIC,goal1,goal8,0,0.05116127605670758
HIC,goal1,goal8,1,0.04886507198718718
HIC,goal1,goal8,2,0.009633273365056675
HIC,goal1,goal8,3,0.002840964448639337
HIC,goal1,goal8,4,0.0005845113471026444
HIC,goal1,goal8,5,0.00015454421314083186
HIC,goal1,goal8,6,3.2819610822192135e-05
HIC,goal1,goal8,7,8.68749008576182e-06
HIC,goal1,goal8,8,1.8897822303558987e-06
HIC,goal1,goal8,9,4.835495849315647e-07
HIC,goal1,goal8,10,1.0792346599601283e-07
HIC,goal3,goal8,0,0.0023228293306840155
HIC,goal3,goal8,1,-0.09192438194403685
HIC,goal3,goal8,2,-0.023672952653751383
HIC,goal3,goal8,3,-0.005314366184867694
HIC,goal3,goal8,4,-0.0011067903716769978
HIC,goal3,goal8,5,-0.0002869900454363664
HIC,goal3,goal8,6,-6.682940999861136e-05
HIC,goal3,goal8,7,-1.6220910408313608e-05
HIC,goal3,goal8,8,-3.7566904865698884e-06
HIC,goal3,goal8,9,-9.075495443894498e-07
HIC,goal3,goal8,10,-2.13898366366576e-07
HIC,goal4,goal8,0,-0.009828247827444597
HIC,goal4,goal8,1,-0.09146668475917755
HIC,goal4,goal8,2,-0.006847590455608233
HIC,goal4,goal8,3,-0.00030298990103854237
HIC,goal4,goal8,4,-0.00047313320544303887
HIC,goal4,goal8,5,-7.256488437032004e-05
HIC,goal4,goal8,6,-2.55606003011183e-05
HIC,goal4,goal8,7,-3.7638401991992756e-06
HIC,goal4,goal8,8,-1.3293073102899906e-06
HIC,goal4,goal8,9,-2.4479187793375746e-07
HIC,goal4,goal8,10,-7.10547916733973e-08
HIC,goal7,goal8,0,-0.10719613306455672
HIC,goal7,goal8,1,-0.014809581035569085
HIC,goal7,goal8,2,-0.002494478684500526
HIC,goal7,goal8,3,4.6137156830337225e-05
HIC,goal7,goal8,4,-0.0002633877969409378
HIC,goal7,goal8,5,-8.19399508572487e-06
HIC,goal7,goal8,6,-1.1842559895766844e-05
HIC,goal7,goal8,7,-8.19429771446863e-07
HIC,goal7,goal8,8,-5.774250937149055e-07
HIC,goal7,goal8,9,-7.091010792050728e-08
HIC,goal7,goal8,10,-2.7821833593220202e-08
HIC,goal8,goal8,0,0.7984672921945076
HIC,goal8,goal8,1,0.011120301462396077
HIC,goal8,goal8,2,0.010032051586846369
HIC,goal8,goal8,3,0.0011610412016389354
HIC,goal8,goal8,4,0.0006971220782745125
HIC,goal8,goal8,5,0.00010785672369486279
HIC,goal8,goal8,6,3.12745208630929e-05
HIC,goal8,goal8,7,6.399673475106861e-06
HIC,goal8,goal8,8,1.7310355658213763e-06
HIC,goal8,goal8,9,3.8090262777885413e-07
HIC,goal8,goal8,10,9.460082875214804e-08
HIC,goal10,goal8,0,0.0
HIC,goal10,goal8,1,-0.01573166622948347
HIC,goal10,goal8,2,0.00418276096646856
HIC,goal10,goal8,3,-0.0016896541599652798
HIC,goal10,goal8,4,0.0001536191319852187
HIC,goal10,goal8,5,-6.64419112479042e-05
HIC,goal10,goal8,6,3.725541474195504e-06
HIC,goal10,goal8,7,-2.6292193037939587e-06
HIC,goal10,goal8,8,-4.7349032625154724e-08
HIC,goal10,goal8,9,-9.940703159039307e-08
HIC,goal10,goal8,10,-1.1430498238774351e-08
HIC,goal13,goal8,0,0.0
HIC,goal13,goal8,1,-0.05109368787407925
HIC,goal13,goal8,2,-0.00435134078637331
HIC,goal13,goal8,3,-0.0022036430201189104
HIC,goal13,goal8,4,-0.0005315655982386457
HIC,goal13,goal8,5,-0.00010169207587521262
HIC,goal13,goal8,6,-2.9049519613486955e-05
HIC,goal13,goal8,7,-5.813033895690887e-06
HIC,goal13,goal8,8,-1.6550149468869606e-06
HIC,goal13,goal8,9,-3.333714829843326e-07
HIC,goal13,goal8,10,-9.141345111053868e-08
HIC,goal16,goal8,0,0.0
HIC,goal16,goal8,1,-0.06521608601459851
HIC,goal16,goal8,2,0.0035734279708185264
HIC,goal16,goal8,3,-0.0037684721416668242
HIC,goal16,goal8,4,-0.00011414645663678043
HIC,goal16,goal8,5,-0.00016228087839206674
HIC,goal16,goal8,6,-1.20099043273342e-05
HIC,goal16,goal8,7,-7.859057388218154e-06
HIC,goal16,goal8,8,-9.88030500931844e-07
HIC,goal16,goal8,9,-3.8899661896550566e-07
HIC,goal16,goal8,10,-6.525543377871693e-08
HIC,goal1,goal10,0,0.43455351545968973
HIC,goal1,goal10,1,-0.05578173315720909
HIC,goal1,goal10,2,0.006775460037358859
HIC,goal1,goal10,3,-0.0022696233598769296
HIC,goal1,goal10,4,0.0002877393360980145
HIC,goal1,goal10,5,-9.861916640275881e-05
HIC,goal1,goal10,6,1.0216852644653196e-05
HIC,goal1,goal10,7,-4.5672928554886934e-06
HIC,goal1,goal10,8,3.8895700468714303e-07
HIC,goal1,goal10,9,-2.2020598857994214e-07
HIC,goal1,goal10,10,1.4711805902326403e-08
HIC,goal3,goal10,0,0.0354903354218915
HIC,goal3,goal10,1,0.02251269546033249
HIC,goal3,goal10,2,0.009012812038489039
HIC,goal3,goal10,3,-0.001070288636189906
HIC,goal3,goal10,4,0.000525401154026403
HIC,goal3,goal10,5,-2.850859608739802e-05
HIC,goal3,goal10,6,2.7716950691691945e-05
HIC,goal3,goal10,7,-1.3754384697693265e-06
HIC,goal3,goal10,8,1.4080345310734391e-06
HIC,goal3,goal10,9,-3.707620522196086e-08
HIC,goal3,goal10,10,7.160004230856115e-08
HIC,goal4,goal10,0,-0.019946474404444574
HIC,goal4,goal10,1,0.025268976261073044
HIC,goal4,goal10,2,-0.011377843806749863
HIC,goal4,goal10,3,0.0024120865490229607
HIC,goal4,goal10,4,-0.0004240313803241343
HIC,goal4,goal10,5,0.00015588101397347894
HIC,goal4,goal10,6,-3.323249704832098e-05
HIC,goal4,goal10,7,9.04569824104382e-06
HIC,goal4,goal10,8,-1.6882934538242794e-06
HIC,goal4,goal10,9,4.6179735743915605e-07
HIC,goal4,goal10,10,-8.217508635702824e-08
HIC,goal7,goal10,0,-0.011691275151932091
HIC,goal7,goal10,1,0.02342476956281925
HIC,goal7,goal10,2,-0.013282113748224189
HIC,goal7,goal10,3,0.00438240726043564
HIC,goal7,goal10,4,-0.001102208715972922
HIC,goal7,goal10,5,0.0002861309320927296
HIC,goal7,goal10,6,-6.663226225348216e-05
HIC,goal7,goal10,7,1.5915296985655726e-05
HIC,goal7,goal10,8,-3.459181237767535e-06
HIC,goal7,goal10,9,7.982465411075973e-07
HIC,goal7,goal10,10,-1.686921992913125e-07
HIC,goal8,goal10,0,-0.041121564272307794
HIC,goal8,goal10,1,-0.023238710959613575
HIC,goal8,goal10,2,0.013405073593760213
HIC,goal8,goal10,3,-0.0038965205258545046
HIC,goal8,goal10,4,0.0005044749379702636
HIC,goal8,goal10,5,-0.00012160159002466522
HIC,goal8,goal10,6,1.527569770870251e-05
HIC,goal8,goal10,7,-4.627285905819863e-06
HIC,goal8,goal10,8,3.4945308467354865e-07
HIC,goal8,goal10,9,-1.6565740782325817e-07
HIC,goal8,goal10,10,4.203653177850431e-09
HIC,goal10,goal10,0,1.6754941241796197
HIC,goal10,goal10,1,-0.3572055814309288
HIC,goal10,goal10,2,0.07831782781064431
HIC,goal10,goal10,3,-0.017102511969172493
HIC,goal10,goal10,4,0.003847753438444077
HIC,goal10,goal10,5,-0.0008530974992305657
HIC,goal10,goal10,6,0.00018969215846435133
HIC,goal10,goal10,7,-4.113036167068891e-05
HIC,goal10,goal10,8,9.031247228335222e-06
HIC,goal10,goal10,9,-1.9378940406218824e-06
HIC,goal10,goal10,10,4.2331978693382193e-07
HIC,goal13,goal10,0,0.0
HIC,goal13,goal10,1,-0.0958630933568378
HIC,goal13,goal10,2,0.026548504161802756
HIC,goal13,goal10,3,-0.004621721640581577
HIC,goal13,goal10,4,0.0010769584366805253
HIC,goal13,goal10,5,-0.00018609302394735288
HIC,goal13,goal10,6,4.4113590597330355e-05
HIC,goal13,goal10,7,-6.917184321152377e-06
HIC,goal13,goal10,8,1.8463937449916951e-06
HIC,goal13,goal10,9,-2.778667245034243e-07
HIC,goal13,goal10,10,8.310027281775367e-08
HIC,goal16,goal10,0,0.0
HIC,goal16,goal10,1,-0.07945299330828079
HIC,goal16,goal10,2,0.026772088492915416
